91,1/1/2018,1,0.03, ,0.04, ,187, ,5, ,50.2, ,16.9, ,30.8, ,96, ,56, ,86, ,27, ,2, ,48.8, ,33.3, 
91,1/2/2018,2,0.03, ,0, ,153, ,5, ,47.8, ,18.2, ,30.4, ,96, ,62, ,87, ,27, ,2, ,48.4, ,33.3, 
91,1/3/2018,3,0.02, ,0, ,137, ,5.9, ,52.3, ,24.9, ,35.7, ,96, ,57, ,83, ,31, ,2.2, ,53.4, ,33.3, 
91,1/4/2018,4,0.03, ,0, ,104, ,8.2, ,52.3, ,35.5, ,43.5, ,93, ,71, ,85, ,39.3, ,7, ,169, ,33.3, 
91,1/5/2018,5,0.03, ,0, ,91, ,8.7, ,53.7, ,39.9, ,47.1, ,88, ,71, ,79, ,41, ,10.3, ,246.7, ,33.7, 
91,1/6/2018,6,0.03, ,0, ,185, ,5.8, ,47.7, ,23, ,36.6, ,96, ,54, ,79, ,30.9, ,3.4, ,81, ,35, 
91,1/7/2018,7,0.03, ,0, ,159, ,5.1, ,46, ,16.9, ,30.5, ,96, ,69, ,89, ,27.7, ,2.3, ,54.2, ,35, 
91,1/8/2018,8,0, ,0.08, ,35, ,6.9, ,43.5, ,26.2, ,37.2, ,95, ,85, ,92, ,35.2, ,3.6, ,86.4, ,34.6, 
91,1/9/2018,9,0.01, ,0, ,83, ,7.6, ,46.9, ,32.6, ,40.2, ,95, ,78, ,89, ,37.4, ,5.5, ,132.8, ,35.6, 
91,1/10/2018,10,0.01, ,0.04, ,79, ,6, ,38.8, ,29.6, ,33.6, ,97, ,78, ,92, ,31.6, ,2.7, ,65.2, ,36.7, 
91,1/11/2018,11,0.03, ,0, ,119, ,6.6, ,51.2, ,26.5, ,37.7, ,98, ,64, ,87, ,34, ,5.6, ,134.1, ,36.9, 
91,1/12/2018,12,0.03, ,0.04, ,156, ,5.9, ,49.9, ,23.6, ,34.2, ,97, ,62, ,89, ,31.3, ,2.3, ,55.4, ,37.1, 
91,1/13/2018,13,0.04, ,0, ,199, ,5.5, ,55.2, ,19.7, ,34.5, ,96, ,51, ,81, ,29.2, ,2.3, ,55, ,36.6, 
91,1/14/2018,14,0.04, ,0, ,145, ,5.9, ,59.1,Y,26.5, ,40.1, ,88, ,44, ,69, ,30.9, ,3.1, ,75.4, ,36.3, 
91,1/15/2018,15,0.03, ,0, ,98, ,6.1, ,55.1, ,27.5, ,41.8, ,90, ,46, ,68, ,32.1, ,4.3, ,103.9, ,36.7, 
