109,1/1/2018,1,0.03, ,0, ,154, ,9.6, ,63.1, ,33.1, ,46.4, ,100, ,61, ,89, ,43.4, ,1.5, ,35.6, ,46.4, 
109,1/2/2018,2,0.02, ,0, ,87, ,10, ,60.5, ,35.7, ,49, ,100, ,64, ,84, ,44.5, ,1.9, ,45.9, ,46.9, 
109,1/3/2018,3,0.01, ,0.05, ,45, ,11.5, ,57.5, ,42.7, ,51.1, ,99, ,73, ,90, ,48.1, ,2.2, ,52, ,47.9, 
109,1/4/2018,4,0.02, ,0.01, ,106, ,14.3,Y,63.1, ,51.6, ,56.5,Y,100, ,80, ,92,Y,54.1,Y,3, ,71.8, ,49.7, 
109,1/5/2018,5,0, ,0.24, ,55, ,15.2,Y,60.1, ,51.9, ,55.5, ,100, ,100, ,100,Y,55.5,Y,1.6, ,38.7, ,51.6, 
109,1/6/2018,6,0.04, ,0, ,203, ,11.2, ,59.6, ,36.2, ,48.1, ,100, ,80, ,98, ,47.5, ,1.9, ,44.7, ,51.5, 
109,1/7/2018,7,0.01,R,0, ,64, ,9.6, ,50.4, ,32.3, ,42.6, ,100, ,99, ,100, ,43.4, ,1.1, ,27, ,49, 
109,1/8/2018,8,0, ,1.95, ,21, ,13.4, ,56.4, ,47.2, ,52, ,100, ,100, ,100, ,52.4, ,3.5, ,85, ,49.5, 
109,1/9/2018,9,0.02, ,0.22, ,99, ,14.9,Y,62.3, ,44.9, ,55.4, ,100, ,90, ,99,Y,55.2,Y,2.3, ,55.6, ,52, 
109,1/10/2018,10,0.02, ,0.01, ,102, ,11.8, ,58, ,42.8, ,50.3, ,100, ,83, ,95, ,49, ,2.4, ,57.2, ,51.6, 
109,1/11/2018,11,0.02, ,0, ,133, ,12.1, ,61.6, ,40.8, ,49.9, ,100, ,83, ,99, ,49.5, ,1.4, ,34.2, ,51.4, 
109,1/12/2018,12,0.02, ,0, ,131, ,11.3, ,59.7, ,38.1, ,47.5, ,100, ,86, ,100, ,47.7, ,1.6, ,38.8, ,51, 
109,1/13/2018,13,0.04, ,0, ,192, ,10.7, ,56.7, ,34.8, ,46.5, ,100, ,89, ,100, ,46.4, ,4.5, ,107.3, ,50, 
109,1/14/2018,14,0.02, ,0, ,121, ,11.3, ,56.7, ,38.3, ,48.2, ,100, ,89, ,98, ,47.8, ,3.9, ,93.8, ,50, 
109,1/15/2018,15,0.03, ,0, ,157, ,11.9, ,57.1, ,40.3, ,49.8, ,100, ,86, ,97, ,49, ,2.2, ,52.1, ,50.2, 
109,1/16/2018,16,0.01, ,0.03, ,72, ,14.4, ,57.2, ,50.6, ,54.1, ,100, ,97, ,100, ,54.2, ,1.9, ,45.1, ,51.6, 
109,1/17/2018,17,0.02, ,0, ,105, ,13.9, ,57.1, ,49.5, ,53.2, ,100, ,95, ,100, ,53.4, ,2.4, ,57, ,52.5, 
109,1/18/2018,18,0,R,0.13, ,43, ,14, ,56.8, ,48.3, ,52.1, ,100, ,100, ,100, ,53.5, ,2.4, ,57.3, ,52.8, 
109,1/19/2018,19,0.04, ,0, ,196, ,9.4, ,60.2, ,33.2, ,45.1, ,100, ,65, ,92, ,42.8, ,1.9, ,44.6, ,51.8, 
109,1/20/2018,20,0.05, ,0.01, ,236, ,7.8, ,60.2, ,28.5, ,42.1, ,100, ,49, ,86, ,38.2, ,2, ,48.6, ,49.6, 
109,1/21/2018,21,0.03, ,0.07, ,150, ,9.5, ,55.5, ,30, ,44.2, ,100, ,79, ,97, ,43.3, ,2.6, ,62.1, ,48.4, 
109,1/22/2018,22,0.03, ,0.33,R,148, ,12.1, ,57.2, ,35.5, ,50.1, ,100, ,86, ,98, ,49.7, ,4.3, ,102.6, ,50.3, 
109,1/23/2018,23,0.05, ,0, ,234, ,9.4, ,59.5, ,34.4, ,44.5, ,100, ,71, ,94, ,43, ,1.8, ,43.6, ,49.7, 
109,1/24/2018,24,0.01, ,0.33,R,72, ,10.6, ,56.6, ,35.3, ,45.9, ,100, ,84, ,100, ,46.1, ,3, ,71.4, ,49.1, 
109,1/25/2018,25,0.04, ,0.27, ,188, ,9.4, ,56.1, ,33.6, ,43.9, ,100, ,75, ,96, ,42.9, ,2.2, ,53.9, ,48.8, 
109,1/26/2018,26,0.05, ,0, ,231, ,8.4, ,55.5, ,29.5, ,41.2, ,100, ,76, ,96, ,40.2, ,1.9, ,45.1, ,47.6, 
109,1/27/2018,27,0.05, ,0, ,229, ,10.1, ,64.6, ,37.3, ,47.9, ,100, ,65, ,89, ,44.9, ,1.6, ,38.2, ,48.4, 
109,1/28/2018,28,0.06,R,0, ,254, ,10.4, ,64.6, ,33.8, ,48.3, ,100, ,66, ,90, ,45.6, ,1.8, ,43.5, ,49, 
109,1/29/2018,29,0.03, ,0, ,131, ,10.6, ,60.9, ,36.7, ,46.7, ,100, ,82, ,98, ,46.2, ,1.9, ,46.5, ,49.2, 
109,1/30/2018,30,0.06, ,0, ,234, ,10.3, ,65, ,32, ,47.7, ,100, ,65, ,92, ,45.4, ,1.7, ,41.2, ,48.9, 
109,1/31/2018,31,0.06, ,0, ,252, ,10.4, ,66.3, ,33.4, ,48.7, ,100, ,60, ,89, ,45.5, ,1.7, ,39.7, ,49.3, 
109,2/1/2018,32,0.06, ,0, ,241, ,10.9, ,71.5,Y,39.2, ,53, ,100, ,47, ,79, ,46.7, ,1.7, ,41.8, ,50.3, 
109,2/2/2018,33,0.07, ,0, ,242, ,11.4, ,74.1,Y,39.4, ,53.5, ,100, ,49, ,82, ,48, ,2, ,48.4, ,51, 
109,2/3/2018,34,0.08, ,0, ,257, ,11.6, ,75,Y,38, ,54.5, ,100, ,49, ,80, ,48.5, ,2.3, ,54.5, ,51.4, 
109,2/4/2018,35,0.07,R,0, ,238, ,12.5, ,74.4,Y,41.3, ,54.9, ,100, ,56, ,85, ,50.5, ,2.1, ,49.6, ,52.1, 
109,2/5/2018,36,0.07, ,0, ,250, ,12.4, ,71.6, ,40.7, ,53.7, ,100, ,61, ,88, ,50.3, ,1.8, ,43.8, ,52.4, 
109,2/6/2018,37,0.07,R,0, ,284, ,8.6, ,--,S,40.2, ,57.6,H,100,H,23,H,53, ,40.7, ,2.1, ,50.8, ,52.5, 
109,2/7/2018,38,0.08, ,0, ,267, ,11, ,72.5, ,36.1, ,53.8, ,98, ,52, ,78, ,47, ,2.8, ,67.4, ,52.4, 
109,2/8/2018,39,0.08,R,0, ,284, ,10.7, ,74.8,Y,37.7, ,53.7, ,100, ,41, ,76, ,46.3, ,1.7, ,42, ,52.4, 
109,2/9/2018,40,0.08, ,0, ,281, ,11.6, ,75.8,Y,37.4, ,53.9, ,100, ,50, ,82, ,48.5, ,1.9, ,45.3, ,52.6, 
