225,1/1/2018,1,0, ,0, ,55, ,8, ,41.4, ,36, ,39.3, ,100, ,93, ,98, ,38.7, ,2.1, ,51, ,42.2, 
225,1/2/2018,2,0.01, ,0.01, ,70, ,6.8, ,36.9, ,32.1, ,34.5, ,100, ,100, ,100, ,34.5, ,2, ,48.1, ,42.3, 
225,1/3/2018,3,0.02, ,0.02, ,111, ,7.5, ,47.8, ,31.9, ,38.6, ,100, ,76, ,95, ,37.2, ,2.2, ,52.9, ,42.4, 
225,1/4/2018,4,0.04, ,0, ,139, ,8.9, ,58.6, ,34.6, ,48.2, ,100, ,58, ,77, ,41.4, ,6, ,144.2, ,43.1, 
225,1/5/2018,5,0.03, ,0.04, ,100, ,9, ,59.3, ,33, ,47.9, ,99, ,50, ,80, ,41.9, ,5.5, ,131.9, ,44.1, 
225,1/6/2018,6,0.03, ,0, ,171, ,6.4, ,55.5, ,26.3, ,37, ,100, ,49, ,86, ,33.1, ,2.2, ,53.1, ,43.3, 
225,1/7/2018,7,0, ,0, ,65, ,5.7, ,33.9, ,23.6, ,30.2, ,100, ,98, ,100, ,30.3, ,1.8, ,43.7, ,41.8, 
225,1/8/2018,8,0.01, ,0.04, ,83, ,7.7, ,47.6, ,29.2, ,37.8, ,100, ,88, ,100, ,37.7, ,2.6, ,62.1, ,42, 
225,1/9/2018,9,0.02, ,0.05, ,103, ,8, ,54.2, ,30.9, ,40.9, ,100, ,61, ,93, ,38.9, ,2.7, ,64.4, ,43.2, 
225,1/10/2018,10,0.03, ,0.04, ,176, ,7.4, ,49.7, ,31.4, ,39.3, ,100, ,70, ,90, ,36.7, ,3.2, ,76.6, ,43.1, 
225,1/11/2018,11,0.05, ,0, ,159, ,7.8, ,59.7, ,33.1, ,44.1, ,100, ,53, ,79, ,38.1, ,5.1, ,122.3, ,43.6, 
225,1/12/2018,12,0.04, ,0, ,198, ,6.3, ,55.4, ,27.7, ,38.5, ,97, ,44, ,79, ,32.7, ,2.2, ,53.9, ,43.3, 
225,1/13/2018,13,0.04, ,0, ,198, ,5.7, ,55.1, ,22.9, ,34.5, ,100, ,50, ,85, ,30.4, ,1.8, ,42.8, ,42.2, 
225,1/14/2018,14,0.02, ,0, ,138, ,6.2, ,50.4, ,24.3, ,34.9, ,100, ,60, ,91, ,32.5, ,1.8, ,42.4, ,41.4, 
225,1/15/2018,15,0.03, ,0.3, ,94, ,7, ,57.8, ,25.5, ,40.3, ,100, ,48, ,82, ,35.3, ,4.6, ,110.1, ,41.5, 
225,1/16/2018,16,0.01, ,0.07, ,92, ,8.6, ,45.8, ,35.4, ,41.4, ,100, ,87, ,97, ,40.5, ,2.7, ,65.3, ,42.7, 
225,1/17/2018,17,0.03, ,0, ,108, ,9.2,Y,60, ,40, ,47.3, ,100, ,59, ,82,Y,42.2,Y,3.3, ,78.1, ,44,Y
225,1/18/2018,18,0.02, ,0.37,H,60, ,8, ,56.7, ,31.7, ,43.6, ,98, ,57, ,83, ,38.6, ,5, ,119.3, ,44.7,Y
225,1/19/2018,19,0.04, ,0.01, ,220, ,5.7, ,45.3, ,23.6, ,34.7, ,98, ,51, ,84, ,30.3, ,3.1, ,74.5, ,43.6, 
225,1/20/2018,20,0.03, ,0, ,186, ,5, ,45.2, ,23.7, ,30.5, ,97, ,52, ,87, ,27, ,2.1, ,49.9, ,42, 
225,1/21/2018,21,0.01, ,0.36, ,53, ,6, ,44.5, ,25.6, ,33.4, ,99, ,61, ,93, ,31.6, ,4.4, ,104.4, ,40.9, 
225,1/22/2018,22,0.03, ,0.01, ,180, ,6.4, ,46, ,26.3, ,35.5, ,100, ,66, ,91, ,33.1, ,3.4, ,81.7, ,41.2, 
225,1/23/2018,23,0.02, ,0, ,158, ,6.3, ,43.7, ,29.1, ,34.6, ,100, ,81, ,93, ,32.9, ,2.8, ,66.6, ,41.3, 
