200,1/1/2018,1,0.07, ,0, ,262, ,6.6, ,77, ,38.6, ,54.5, ,82, ,19, ,46, ,34, ,2.4, ,58.4, ,53.2, 
200,1/2/2018,2,0.09, ,0, ,254, ,6.3, ,82.9,Y,48.7, ,61.2, ,66, ,12, ,34, ,32.8, ,2.8, ,66.8, ,54.4, 
200,1/3/2018,3,0.05, ,0, ,137, ,7.9, ,73.4, ,45.6, ,58.1, ,71, ,23, ,48, ,38.3, ,2.2, ,53.2, ,54.9, 
200,1/4/2018,4,0.09, ,0, ,297, ,5.9, ,80.7, ,43.5, ,60, ,70, ,12, ,33, ,31.1, ,2.9, ,69.8, ,55.4, 
200,1/5/2018,5,0.09, ,0, ,287, ,7.8, ,79.3, ,46.5, ,60.6, ,76, ,13, ,43, ,38.1, ,2.9, ,69.9, ,55.6, 
200,1/6/2018,6,0.08, ,0, ,210, ,9.2, ,76.6, ,53.4, ,63.9, ,63, ,28, ,46, ,42.5, ,3, ,71.5, ,56.4, 
200,1/7/2018,7,0.07, ,0, ,214, ,11.3, ,79.3, ,52.1, ,64.1, ,82, ,31, ,56, ,47.8, ,2.8, ,66.5, ,57.4, 
200,1/8/2018,8,0.03, ,0.01, ,82, ,12.1,Y,74.7, ,56.5,Y,62.5, ,76, ,32, ,63,Y,49.7,Y,2.2, ,53.5, ,58.3, 
200,1/9/2018,9,0.03, ,0.5, ,133, ,13.3,Y,67.9, ,52.6, ,58.8, ,100, ,43, ,78,Y,52.1,Y,3.9, ,93.2, ,58.8, 
200,1/10/2018,10,0.08, ,0, ,293, ,11.1, ,69.4, ,44.5, ,58, ,94, ,45, ,67, ,47.3, ,3.8, ,90.8, ,57.6, 
200,1/11/2018,11,0.08, ,0, ,309, ,11.6, ,74.2, ,45.4, ,57.9, ,94, ,41, ,71, ,48.5, ,2.4, ,56.4, ,57.4, 
200,1/12/2018,12,0.08, ,0, ,299, ,11.2, ,78, ,47.5, ,59.3, ,86, ,34, ,65, ,47.5, ,2.5, ,59.3, ,57.6, 
200,1/13/2018,13,0.1, ,0, ,298, ,9.1, ,82.6, ,48.3, ,64.7, ,78, ,18, ,44, ,42.1, ,3.5, ,83.8, ,57.9, 
200,1/14/2018,14,0.09, ,0, ,284, ,8.4, ,81.9, ,49.4, ,62.6, ,81, ,18, ,44, ,40.2, ,3.3, ,78.8, ,58.2, 
200,1/15/2018,15,0.09, ,0, ,304, ,9.2, ,79.1, ,45.4, ,60.6, ,76, ,21, ,51, ,42.2, ,2.5, ,61, ,57.8, 
200,1/16/2018,16,0.07, ,0, ,251, ,10.1, ,77.4, ,49, ,60.8, ,79, ,27, ,56, ,44.8, ,2.6, ,61.4, ,58.4, 
