251,1/1/2018,1,0.08, ,0, ,241, ,5.5, ,80.5, ,42.3, ,58.1, ,56, ,14, ,33, ,29.2, ,2.2, ,52.6, ,51.8, 
251,1/2/2018,2,0.1, ,0, ,251, ,4.9, ,83.5, ,48.1, ,62.3, ,47, ,10, ,25, ,26.6, ,2.5, ,60.3, ,53, 
251,1/3/2018,3,0.06, ,0, ,129, ,5.2, ,74.2, ,47.4, ,59.8, ,42, ,14, ,29, ,27.8, ,2.2, ,52.5, ,53.2, 
251,1/4/2018,4,0.09, ,0, ,262, ,5.9, ,77, ,44.9, ,60.2, ,56, ,15, ,33, ,31.2, ,2.5, ,60.2, ,53.7, 
251,1/5/2018,5,0.07, ,0, ,253, ,9.8, ,73.1, ,48.5, ,60.1, ,76, ,36, ,55, ,44.1, ,2.3, ,54.7, ,54.5, 
251,1/6/2018,6,0.06, ,0.01, ,192, ,10.3, ,70.7, ,50.5, ,60.3, ,78, ,38, ,58, ,45.4, ,3, ,71.3, ,55.5, 
251,1/7/2018,7,0.08, ,0, ,227, ,9.3, ,75.9, ,47.1, ,60.6, ,86, ,29, ,52, ,42.7, ,2.5, ,59.4, ,55.6, 
251,1/8/2018,8,0.01, ,0.47, ,37, ,12.2,Y,65.2, ,56.8,Y,59.7, ,90, ,50, ,70,Y,49.9,Y,2.4, ,57.9, ,56.1, 
251,1/9/2018,9,0.01, ,1.82, ,55, ,11.7, ,59.3, ,49.1, ,52.9, ,93, ,74, ,85, ,48.6, ,4.5, ,107.2, ,55.7, 
251,1/10/2018,10,0.05, ,0.01, ,214, ,10.3, ,61.4, ,45.9, ,52.3, ,92, ,57, ,77, ,45.3, ,2.3, ,55.7, ,54.9, 
251,1/11/2018,11,0.07, ,0, ,274, ,9.7, ,72.7, ,41.5, ,55.5, ,90, ,36, ,65, ,43.9, ,2.1, ,50.4, ,54.6, 
251,1/12/2018,12,0.08, ,0, ,273, ,9.1, ,78.1, ,45.9, ,59.6, ,81, ,27, ,52, ,42, ,2.4, ,56.7, ,54.8, 
251,1/13/2018,13,0.1, ,0, ,284, ,7.3, ,79.1, ,47, ,60.9, ,66, ,20, ,40, ,36.4, ,3.1, ,74.5, ,54.9, 
