224,1/1/2016,1,--,N,0, ,201, ,2.5,Y,49.2, ,36.7, ,41.4, ,32, ,22, ,28,Y,10.5,Y,7.7, ,186.0, ,40.1, 
224,1/2/2016,2,--,N,0, ,88, ,3.9, ,46.5, ,35.8, ,40.5, ,77, ,33, ,46, ,21.4, ,3.6, ,85.4, ,40.1, 
224,1/3/2016,3,--,N,0, ,72, ,6.2, ,53.6, ,34.2, ,42.5, ,90, ,42, ,66, ,32.2, ,1.8, ,43.4, ,41.5, 
224,1/4/2016,4,--,N,0.89, ,29, ,8.0, ,46.5, ,34.7, ,41.4, ,96, ,73, ,90, ,38.7, ,2.1, ,51.5, ,42.3, 
224,1/5/2016,5,--,N,2.18, ,24, ,10.1, ,48.4, ,41.9, ,46.0, ,96, ,91, ,96, ,44.8, ,2.6, ,62.5, ,43.7, 
224,1/6/2016,6,--,N,1.9, ,21, ,9.1, ,47.8, ,40.6, ,44.2, ,95, ,88, ,92, ,42.0, ,4.6, ,111.6, ,45.0, 
224,1/7/2016,7,--,N,0.09, ,125, ,8.7, ,51.1, ,40.7, ,43.4, ,96, ,70, ,91, ,40.9, ,2.0, ,47.5, ,45.0, 
224,1/8/2016,8,--,N,0, ,170, ,7.7, ,55.0, ,30.8, ,42.8, ,98, ,49, ,82, ,37.6, ,1.8, ,43.5, ,44.8, 
224,1/9/2016,9,--,N,0.7, ,38, ,8.8, ,44.0, ,41.9, ,42.8, ,96, ,87, ,94, ,41.3, ,2.7, ,64.3, ,45.1, 
224,1/10/2016,10,--,N,0, ,208, ,7.7, ,58.6, ,34.5, ,44.7, ,97, ,45, ,76, ,37.7, ,2.5, ,60.8, ,45.4, 
224,1/11/2016,11,--,N,0, ,59, ,8.7, ,50.0, ,37.6, ,44.1, ,96, ,75, ,88, ,40.8, ,2.2, ,52.9, ,45.2, 
224,1/12/2016,12,--,N,0.34, ,88, ,9.8, ,52.7, ,32.0, ,49.3, ,96, ,70, ,82, ,44.0, ,1.8, ,44.1, ,46.3, 
224,1/13/2016,13,--,N,0.74, ,95, ,9.0, ,55.4, ,33.9, ,47.4, ,95, ,47, ,80, ,41.7, ,7.7, ,185.5, ,47.1, 
