251,10/10/2016,284,0.11,H,0.00,H,442,H,9.8,H,90.9, ,62.3, ,78.9,H,58,H,18,H,29, ,44.0, ,4.5,H,108.2,H,72.6,H
251,10/11/2016,285,0.15, ,0, ,427, ,12.8, ,81.3, ,53.6, ,67.2, ,82, ,35, ,56, ,51.1, ,4.0, ,95.7, ,70.7, 
251,10/12/2016,286,0.11, ,0.07, ,385, ,13.8, ,74.5, ,52.6, ,61.8, ,94, ,48, ,74, ,53.2, ,3.4, ,80.8, ,69.2, 
251,10/13/2016,287,0.14, ,0, ,402, ,11.9, ,83.8, ,50.5, ,66.4, ,85, ,26, ,54, ,49.2, ,2.9, ,69.2, ,68.4, 
251,10/14/2016,288,0.14, ,0, ,409, ,12.2, ,84.0, ,52.8, ,66.9, ,82, ,28, ,54, ,49.8, ,3.3, ,79.2, ,69.1, 
251,10/15/2016,289,0.13, ,0, ,399, ,13.6, ,81.1, ,50.9, ,65.6, ,85, ,32, ,63, ,52.7, ,4.0, ,95.2, ,69.1, 
251,10/16/2016,290,0.11, ,0, ,327, ,16.2, ,77.2, ,61.5, ,67.5, ,91, ,50, ,70, ,57.5, ,4.5, ,107.2, ,70.9, 
251,10/17/2016,291,0.10, ,0.02, ,342, ,16.3, ,74.7, ,59.1, ,65.5, ,97, ,54, ,76, ,57.7, ,4.1, ,98.0, ,70.9, 
251,10/18/2016,292,0.12, ,0, ,391, ,13.5, ,78.9, ,54.0, ,65.2, ,86, ,40, ,64, ,52.6, ,2.9, ,70.1, ,70.3, 
251,10/19/2016,293,0.17, ,0.03, ,406, ,7.1, ,89.7, ,52.7, ,70.8, ,75, ,11, ,28, ,35.8, ,4.0, ,96.7, ,68.3, 
251,10/20/2016,294,0.17, ,0, ,416, ,5.1, ,94.7, ,53.5, ,73.0, ,38, ,7, ,19, ,27.8, ,3.2, ,76.6, ,67.4, 
251,10/21/2016,295,0.17, ,0.02, ,408, ,6.0, ,95.3, ,55.6, ,74.2, ,42, ,8, ,21, ,31.6, ,3.0, ,73.0, ,67.3, 
251,10/22/2016,296,0.16, ,0, ,409, ,6.8, ,90.8, ,55.1, ,71.2, ,46, ,10, ,26, ,34.8, ,3.0, ,71.2, ,66.8, 
251,10/23/2016,297,0.03, ,0.09, ,101, ,12.9, ,78.8, ,56.0, ,65.5, ,93, ,22, ,60, ,51.3, ,3.2, ,75.9, ,65.4, 
251,10/24/2016,298,0.00, ,0.17, ,58, ,17.2, ,66.2, ,56.5, ,62.9, ,97, ,70, ,87, ,59.2, ,3.2, ,77.0, ,65.6, 
251,10/25/2016,299,0.10, ,0, ,367, ,14.6, ,76.3, ,52.0, ,63.3, ,99, ,47, ,73, ,54.7, ,2.4, ,58.5, ,65.1, 
251,10/26/2016,300,0.11, ,0, ,330, ,13.8, ,83.9, ,53.9, ,67.1, ,89, ,33, ,61, ,53.1, ,2.9, ,70.4, ,65.6, 
251,10/27/2016,301,0.08, ,0, ,225, ,14.6, ,82.0, ,57.6, ,69.4, ,84, ,36, ,60, ,54.7, ,2.4, ,58.2, ,66.3, 
251,10/28/2016,302,0.03, ,0.05, ,111, ,15.0, ,74.8, ,59.3, ,67.0, ,85, ,43, ,66, ,55.5, ,2.5, ,61.1, ,66.5, 
251,10/29/2016,303,0.09, ,0, ,265, ,14.6, ,84.3, ,57.6, ,69.9, ,92, ,30, ,59, ,54.7, ,2.1, ,50.0, ,66.8, 
251,10/30/2016,304,0.02, ,0.06, ,107, ,16.4,Y,72.0, ,60.0, ,63.8, ,94, ,63, ,81,Y,57.9,Y,2.8, ,67.5, ,66.8, 
251,10/31/2016,305,0.09, ,0, ,314, ,13.5, ,69.9, ,57.0, ,61.9, ,93, ,44, ,71, ,52.5, ,3.5, ,83.7, ,66.3, 
251,11/1/2016,306,0.05, ,0, ,214, ,11.5, ,66.3, ,51.0, ,58.1, ,86, ,52, ,70, ,48.2, ,2.7, ,65.3, ,64.8, 
