241,1/1/2016,1,0.08, ,0, ,269, ,4.9, ,63.6, ,35.1, ,48.8, ,59, ,20, ,42, ,26.6, ,3.6, ,87.1, ,50.8, 
241,1/2/2016,2,0.06, ,0.00, ,245, ,7.3, ,63.1, ,34.9, ,47.7, ,86, ,33, ,65, ,36.4, ,3.7, ,88.3, ,50.9, 
241,1/3/2016,3,0.06, ,0.02, ,224, ,9.1, ,62.2, ,38.2, ,50.5, ,87, ,44, ,72, ,42.0, ,3.7, ,89.2, ,51.4, 
241,1/4/2016,4,0.07, ,0.02, ,272, ,12.2, ,66.5, ,50.1, ,57.3, ,95, ,49, ,76, ,49.8, ,3.5, ,85.0, ,53.5, 
241,1/5/2016,5,0.00, ,2.23, ,31, ,13.5, ,58.1, ,49.5, ,54.6, ,97, ,82, ,93, ,52.6, ,4.8, ,116.3, ,54.8, 
241,1/6/2016,6,0.02, ,0.77, ,92, ,11.9, ,57.8, ,48.2, ,52.5, ,97, ,74, ,88, ,49.2, ,4.4, ,105.6, ,54.5, 
241,1/7/2016,7,0.05, ,0.12, ,200, ,10.3, ,57.2, ,42.3, ,51.1, ,97, ,66, ,80, ,45.2, ,5.4, ,128.9, ,54.0, 
241,1/8/2016,8,0.07, ,0.00, ,305, ,8.8, ,59.0, ,37.2, ,46.9, ,99, ,54, ,81, ,41.2, ,3.7, ,89.2, ,52.9, 
241,1/9/2016,9,0.05, ,0, ,208, ,9.8, ,60.1, ,38.4, ,50.1, ,95, ,62, ,80, ,44.1, ,3.0, ,72.9, ,52.7, 
241,1/10/2016,10,0.03, ,0, ,152, ,11.1, ,60.1, ,47.0, ,53.7, ,95, ,65, ,79, ,47.4, ,3.0, ,73.2, ,54.2, 
241,1/11/2016,11,0.07, ,0, ,241, ,8.4, ,66.2, ,40.0, ,51.7, ,96, ,31, ,64, ,40.0, ,3.9, ,94.7, ,54.2, 
241,1/12/2016,12,0.08, ,0, ,325, ,7.2, ,64.9, ,36.2, ,48.9, ,74, ,33, ,61, ,36.2, ,4.1, ,99.0, ,52.9, 
241,1/13/2016,13,0.06, ,0, ,261, ,9.2, ,62.4, ,36.4, ,49.5, ,98, ,54, ,76, ,42.3, ,3.7, ,89.2, ,52.6, 
241,1/14/2016,14,0.07, ,0, ,294, ,11.6, ,62.6, ,41.5, ,52.0, ,99, ,68, ,88, ,48.5, ,3.5, ,85.1, ,53.5, 
241,1/15/2016,15,0.04, ,0, ,176, ,12.5, ,61.3, ,45.1, ,53.3, ,98, ,78, ,90, ,50.4, ,3.3, ,78.9, ,54.6, 
241,1/16/2016,16,0.06, ,0, ,247, ,12.6, ,63.4, ,45.2, ,53.6, ,98, ,74, ,90, ,50.7, ,3.3, ,79.9, ,55.2, 
241,1/17/2016,17,0.07, ,0, ,273, ,13.0, ,68.7, ,44.0, ,54.6, ,99, ,66, ,89, ,51.4, ,3.9, ,93.0, ,55.6, 
241,1/18/2016,18,0.04, ,0, ,190, ,14.0, ,62.5, ,49.6, ,56.2, ,99, ,78, ,90, ,53.5, ,3.5, ,85.0, ,56.2, 
241,1/19/2016,19,0.05, ,0, ,230, ,14.0, ,63.4, ,45.9, ,56.1, ,99, ,81, ,91, ,53.6, ,3.2, ,77.8, ,56.6, 
241,1/20/2016,20,0.07, ,0, ,279, ,15.5,Y,66.9, ,54.4, ,58.8, ,99, ,71, ,91,Y,56.3,Y,3.2, ,76.3, ,57.9, 
241,1/21/2016,21,0.09, ,0.00, ,324, ,11.3, ,70.3, ,46.3, ,56.6, ,99, ,33, ,72, ,47.7, ,3.4, ,82.1, ,58.5, 
241,1/22/2016,22,0.06, ,0, ,251, ,11.1, ,67.6, ,43.6, ,53.6, ,96, ,52, ,79, ,47.3, ,3.5, ,84.5, ,57.1, 
241,1/23/2016,23,0.03, ,0, ,156, ,12.5, ,63.3, ,46.1, ,53.7, ,97, ,78, ,89, ,50.4, ,3.4, ,82.8, ,56.8, 
241,1/24/2016,24,0.08, ,0, ,337, ,10.5, ,64.0, ,44.0, ,52.3, ,98, ,55, ,79, ,45.9, ,3.9, ,93.2, ,56.4, 
241,1/25/2016,25,0.08, ,0, ,347, ,10.5, ,65.0, ,41.8, ,52.0, ,94, ,63, ,79, ,45.8, ,4.0, ,96.5, ,56.0, 
241,1/26/2016,26,0.10, ,0, ,364, ,7.1, ,70.0, ,42.6, ,55.2, ,76, ,24, ,48, ,35.8, ,4.6, ,109.4, ,55.4, 
241,1/27/2016,27,0.08, ,0, ,234, ,5.8, ,71.8, ,43.2, ,55.5, ,60, ,18, ,39, ,30.8, ,3.5, ,84.2, ,54.7, 
241,1/28/2016,28,0.09, ,0, ,359, ,8.6, ,71.0, ,40.3, ,53.7, ,86, ,30, ,61, ,40.5, ,4.0, ,96.9, ,54.7, 
241,1/29/2016,29,0.09, ,0, ,331, ,10.5, ,67.4, ,43.4, ,54.1, ,98, ,41, ,73, ,45.8, ,3.7, ,88.9, ,55.1, 
241,1/30/2016,30,0.03, ,0.05, ,142, ,13.3, ,62.1, ,45.6, ,55.3, ,98, ,75, ,89, ,52.2, ,3.2, ,76.0, ,55.7, 
241,1/31/2016,31,0.04, ,0.33, ,72, ,12.3, ,58.0, ,51.2, ,54.9, ,98, ,50, ,84, ,50.0, ,9.9,R,238.3,R,56.7, 
241,2/1/2016,32,0.11, ,0, ,373, ,5.3, ,58.6, ,34.0, ,49.8, ,72, ,27, ,43, ,28.4, ,6.3, ,151.6, ,54.2, 
241,2/2/2016,33,0.09, ,0, ,377, ,6.0, ,58.0, ,30.9,Y,44.6,Y,81, ,37, ,60,Y,31.6,Y,4.2, ,101.2, ,52.5, 
241,2/3/2016,34,0.10, ,0, ,376, ,6.8, ,62.3, ,35.7, ,48.3, ,89, ,31, ,58, ,34.5, ,4.2, ,100.6, ,52.5, 
241,2/4/2016,35,0.10, ,0, ,385, ,6.7, ,65.7, ,37.3, ,50.6, ,76, ,22, ,53, ,34.2, ,4.2, ,101.1, ,52.6, 
