226,1/1/2015,1,0.05, ,0, ,221, ,5.4, ,50.7, ,28, ,38.7, ,89, ,45, ,67, ,28.8, ,2.8, ,66.1, ,44.8, 
226,1/2/2015,2,0.05, ,0, ,220, ,5.7, ,53.8, ,26.8, ,38.4, ,91, ,46, ,73, ,30.4, ,2.8, ,66.2, ,44, 
226,1/3/2015,3,0.04, ,0, ,217, ,6.1, ,55.7, ,28.2, ,39.4, ,93, ,44, ,74, ,31.9, ,2.2, ,52, ,43.8, 
226,1/4/2015,4,0.04, ,0, ,180, ,6.9, ,57.3, ,32.1, ,42.6, ,90, ,52, ,75, ,35.2, ,3, ,71.9, ,44.1, 
226,1/5/2015,5,0.04, ,0, ,184, ,7.3, ,59.1, ,32.1, ,43.6, ,91, ,51, ,76, ,36.5, ,2.8, ,66.8, ,44.5, 
226,1/6/2015,6,0.06, ,0, ,228, ,8.4, ,64.3, ,34.8, ,47.2, ,92, ,48, ,76, ,40, ,3.8, ,90.5, ,45.1, 
226,1/7/2015,7,0.06, ,0, ,233, ,8.6, ,67.5,Y,35.8, ,49.1, ,89, ,43, ,72, ,40.5, ,3, ,71.2, ,45.7, 
226,1/8/2015,8,0.05, ,0, ,191, ,8.9, ,62.5, ,37, ,48.1, ,93, ,57, ,78, ,41.5, ,2.8, ,66.1, ,46.2, 
226,1/9/2015,9,0.02, ,0, ,95, ,9.5, ,56.8, ,41.2, ,48.9, ,88, ,68, ,80, ,43.2, ,2.3, ,55.8, ,47.1, 
226,1/10/2015,10,0.04, ,0, ,167, ,10.6, ,62, ,43.7, ,51.6, ,92, ,62, ,81, ,46, ,2, ,48.4, ,48.3, 
226,1/11/2015,11,0.05, ,0, ,220, ,10, ,64.6, ,42.4, ,52.1, ,91, ,54, ,76, ,44.6, ,2.2, ,53.7, ,49, 
226,1/12/2015,12,0.06, ,0, ,233, ,9.8, ,65.5, ,40.8, ,51.2, ,94, ,50, ,76, ,43.9, ,3.9, ,93.3, ,49.2, 
226,1/13/2015,13,0.09, ,0, ,246, ,8.6, ,65.3, ,41.9, ,54, ,91, ,36, ,61, ,40.7, ,7.5, ,179.6, ,49.6, 
226,1/14/2015,14,0.04, ,0, ,188, ,9.3, ,56.9, ,38.1, ,46.3, ,94, ,69, ,87, ,42.6, ,3.6, ,86.9, ,49.3, 
226,1/15/2015,15,0.03, ,0.01, ,140, ,8.7, ,56, ,35.6, ,45.9, ,94, ,60, ,83, ,41, ,2.6, ,62.3, ,48.9, 
226,1/16/2015,16,0, ,0.06, ,62, ,10, ,50, ,42.5, ,46.7, ,94, ,89, ,92, ,44.5, ,5.6, ,134.7, ,49.2, 
226,1/17/2015,17,0.03, ,0, ,137, ,10.6, ,56.3, ,42.5, ,49, ,93, ,81, ,89, ,46.1, ,3.7, ,88.9, ,49.8, 
226,1/18/2015,18,0.01, ,0, ,62, ,11.3, ,51.7, ,47.3, ,49.6, ,94, ,91, ,93, ,47.8, ,5.2, ,124, ,50.8, 
226,1/19/2015,19,0.05, ,0, ,202, ,11.2, ,63.2, ,44.6, ,52.5, ,94, ,50, ,83, ,47.5, ,3.9, ,94.2, ,51.9, 
226,1/20/2015,20,0.04, ,0.01, ,175, ,9.2, ,57.8, ,38.1, ,45.9, ,94, ,57, ,87, ,42.3, ,3, ,71.5, ,51.4, 
226,1/21/2015,21,0.05, ,0.01,R,234, ,8.5, ,57.7, ,36.1, ,44.5, ,95, ,61, ,85, ,40.4, ,3, ,72.4, ,50.3, 
226,1/22/2015,22,0.03, ,0, ,167, ,8.8, ,55, ,36.2, ,45, ,93, ,71, ,86, ,41.2, ,3, ,73.2, ,49.9, 
226,1/23/2015,23,0.05, ,0, ,233, ,8.6, ,60.6, ,36.1, ,45, ,94, ,61, ,85, ,40.7, ,3.7, ,89.5, ,49.4, 
226,1/24/2015,24,0.05, ,0, ,224, ,9.3, ,60.7, ,42.6, ,46.9, ,94, ,59, ,86, ,42.8, ,4.2, ,101.2, ,50.1, 
226,1/25/2015,25,0.03, ,0, ,155, ,9.1, ,57.2, ,40.4, ,45.5, ,94, ,66, ,88, ,42.1, ,3.3, ,78.7, ,50.6, 
226,1/26/2015,26,0.06, ,0, ,229, ,9.5, ,67.7, ,37.5, ,50.2, ,94, ,45, ,77, ,43.1, ,4.3, ,104.3, ,50.3, 
226,1/27/2015,27,0.02, ,0, ,101, ,11, ,60.4, ,45.8, ,52.6, ,89, ,70, ,82, ,47.2, ,3.3, ,79, ,51, 
226,1/28/2015,28,0.09, ,0, ,269, ,10.3, ,71.2,Y,47.3, ,56.6,Y,83, ,40, ,66,Y,45.3,Y,5.3, ,126.7, ,51.8, 
226,1/29/2015,29,0.07, ,0, ,269, ,9.7, ,70.9,Y,41.1, ,53.7, ,92, ,35, ,69, ,43.7, ,2.8, ,67.1, ,51.8, 
226,1/30/2015,30,0.12, ,0, ,278, ,8.3, ,72.8,Y,39.8, ,56.4, ,91, ,32, ,54, ,39.8, ,6.1, ,145.9, ,51.4, 
