242,11/6/2015,310,0.1, ,0, ,182, ,8.7, ,70.7, ,41.7, ,54.9, ,96, ,33, ,59, ,40.9, ,2.3, ,55.1, ,59.1, 
242,11/7/2015,311,0.09, ,0, ,320, ,9.1, ,71.5, ,35.7, ,50.9, ,99, ,38, ,72, ,42.1, ,2.7, ,64.5, ,58.9, 
242,11/8/2015,312,0.02, ,0.03, ,122, ,11.5, ,58.7, ,38.2, ,49.7, ,99, ,81, ,95, ,48.3, ,4.4, ,105.4, ,58.5, 
242,11/9/2015,313,0.02, ,0.08,R,56, ,11.2, ,55.7, ,48, ,51, ,99, ,81, ,88, ,47.6, ,7.1, ,169.8, ,58, 
242,11/10/2015,314,0.07, ,0.01, ,248, ,10.2, ,62.6, ,38.1, ,50.2, ,99, ,54, ,83, ,45.2, ,5.1, ,122.5, ,57.7, 
242,11/11/2015,315,0.07, ,0, ,308, ,9.1, ,63.7, ,31, ,46.1, ,99, ,56, ,86, ,42.2, ,2.6, ,62.3, ,57.4, 
242,11/12/2015,316,0.08, ,0, ,309, ,8.8, ,65.6, ,31.4, ,46.2, ,100, ,46, ,83, ,41.1, ,3.1, ,74.7, ,56.8, 
242,11/13/2015,317,0.08, ,0, ,297, ,9.5, ,69.5, ,34.6, ,49.1, ,99, ,47, ,80, ,43.1, ,2.2, ,53, ,56.3, 
242,11/14/2015,318,0.07, ,0, ,289, ,10.2, ,69.7, ,33.5, ,49.6, ,100, ,54, ,84, ,45.1, ,2.2, ,53.6, ,56, 
242,11/15/2015,319,0.08, ,0.13, ,228, ,9.8, ,62.2, ,39.7, ,50.8, ,99, ,49, ,77, ,43.9, ,8.6, ,206.9, ,56.1, 
242,11/16/2015,320,0.14, ,0, ,306, ,5.8, ,61.2, ,37.1, ,48.7, ,84, ,27, ,50, ,30.8, ,11.3,Y,270,Y,55.9, 
242,11/17/2015,321,0.08, ,0, ,276, ,7.3, ,66, ,35.2, ,48.7, ,96, ,37, ,62, ,36.5, ,3.1, ,74.4, ,55.2, 
242,11/18/2015,322,0.07, ,0, ,278, ,9.5, ,69.2, ,33.5, ,48.4, ,99, ,50, ,82, ,43.3, ,3.1, ,73.6, ,54.9, 
242,11/19/2015,323,0.07, ,0, ,278, ,10.3, ,68.8, ,35.2, ,51, ,99, ,52, ,81, ,45.4, ,2.6, ,63.5, ,54.8, 
242,11/20/2015,324,0.08, ,0, ,278, ,11.1, ,73.9, ,36.6, ,54, ,100, ,47, ,78, ,47.4, ,3, ,71.8, ,55, 
242,11/21/2015,325,0.07, ,0, ,247, ,10.9, ,71.6, ,39.4, ,52.5, ,99, ,48, ,81, ,46.8, ,2.7, ,63.6, ,55.3, 
242,11/22/2015,326,0.05, ,0, ,217, ,11, ,68.9, ,36.2, ,50.8, ,100, ,56, ,87, ,47, ,2, ,48.5, ,55.3, 
242,11/23/2015,327,0.06, ,0, ,245, ,10.6, ,67.6, ,35.7, ,50.7, ,99, ,56, ,84, ,46.2, ,4.2, ,100.6, ,55.3, 
242,11/24/2015,328,0.04, ,0.08, ,128, ,9.8, ,58.2, ,44.7, ,50.1, ,95, ,52, ,80, ,44.1, ,8.3, ,199.5, ,55.5, 
