125,1/1/2015,1,0.06, ,0, ,280, ,4.6, ,52.7, ,22.8,Y,35.7, ,90, ,32, ,65, ,25.2, ,2.7, ,65.2, ,46.2, 
125,1/2/2015,2,0.06, ,0, ,275, ,5, ,54.5, ,25.2, ,37.6, ,90, ,35, ,65, ,26.9, ,2.5, ,59.3, ,45.3, 
125,1/3/2015,3,0.06, ,0, ,270, ,5.5, ,55.7, ,26, ,39, ,92, ,40, ,68, ,29.6, ,2.6, ,62.7, ,45, 
125,1/4/2015,4,0.06, ,0, ,261, ,6.2, ,57.8, ,28.8, ,41.2, ,90, ,43, ,71, ,32.4, ,2.7, ,65, ,45.2, 
125,1/5/2015,5,0.06, ,0, ,260, ,7.1, ,60.9, ,30.8, ,43.5, ,95, ,45, ,74, ,35.7, ,2.4, ,58.6, ,45.8, 
125,1/6/2015,6,0.06, ,0, ,263, ,8.4, ,63, ,34.1, ,46.9, ,94, ,52, ,77, ,40, ,2.9, ,68.8, ,46.8, 
125,1/7/2015,7,0.06, ,0, ,253, ,9.5, ,64.9, ,38.4, ,49.6, ,93, ,52, ,78, ,43.1, ,2.8, ,67, ,47.9, 
125,1/8/2015,8,0.07, ,0, ,345,R,11.3, ,69.3, ,51.1,Y,59.6,Y,96, ,45, ,65,Y,47.8,Y,2.5, ,60.1, ,49.7, 
125,1/9/2015,9,0.05, ,0, ,195, ,11.6, ,68, ,46.1, ,55.1, ,95, ,54, ,79, ,48.6, ,2.3, ,54.8, ,51.2, 
125,1/10/2015,10,0.03, ,0, ,143, ,12.9, ,62, ,46.8, ,54.3, ,98, ,71, ,90, ,51.3, ,1.9, ,46.3, ,52, 
125,1/11/2015,11,0.01, ,0.35, ,73, ,13.7,Y,58, ,44.5, ,53.4, ,100, ,91, ,98,Y,52.9,Y,1.9, ,45.9, ,53.4, 
125,1/12/2015,12,0.02, ,0, ,131, ,11.8, ,55.3, ,41.1, ,49, ,100, ,95, ,99, ,48.8, ,2.6, ,63.4, ,52.4, 
125,1/13/2015,13,0.06, ,0, ,233, ,11.2, ,61.5, ,40.2, ,50, ,100, ,72, ,91, ,47.5, ,2.4, ,56.4, ,52.3, 
125,1/14/2015,14,0.07, ,0, ,280, ,11.2, ,65.3, ,39.3, ,51.1, ,100, ,56, ,87, ,47.5, ,1.9, ,45.9, ,52.6, 
125,1/15/2015,15,0.04, ,0, ,189, ,11.3, ,56.2, ,42.9, ,48.7, ,100, ,82, ,97, ,47.8, ,2.7, ,64.4, ,52.6, 
125,1/16/2015,16,0.06, ,0, ,258, ,10.4, ,61.9, ,40.8, ,49.6, ,100, ,64, ,86, ,45.7, ,2.7, ,64.8, ,53.3, 
125,1/17/2015,17,0.03, ,0, ,161, ,10.5, ,55.3, ,39.5, ,46.5, ,100, ,82, ,97, ,45.7, ,2.2, ,52.1, ,52.5, 
125,1/18/2015,18,0.01, ,0, ,76, ,10.7, ,50.1, ,43.9, ,46.8, ,100, ,92, ,98, ,46.4, ,2.4, ,58.7, ,52.6, 
125,1/19/2015,19,0.01, ,0, ,90, ,10.5, ,49.1, ,43.5, ,46.1, ,100, ,93, ,99, ,45.8, ,2.3, ,54.7, ,52.5, 
125,1/20/2015,20,0.01, ,0, ,67, ,10.6, ,50.5, ,46.3, ,48.2, ,97, ,86, ,92, ,46.1, ,1.6, ,38, ,52.6, 
125,1/21/2015,21,0.01, ,0, ,80, ,10.1, ,51.7, ,46, ,49, ,94, ,78, ,86, ,44.9, ,2.1, ,50.7, ,52.6, 
125,1/22/2015,22,0.05, ,0, ,249, ,10.1, ,56.6, ,40.5, ,48.5, ,98, ,72, ,87, ,44.9, ,2.1, ,51.5, ,52.7, 
125,1/23/2015,23,0.05, ,0, ,213, ,9.6, ,57.4, ,37.8, ,46.3, ,99, ,70, ,90, ,43.5, ,2.6, ,62, ,52.5, 
125,1/24/2015,24,0.02, ,0.04, ,150, ,8.6, ,52, ,33.2, ,40.7, ,100, ,83, ,99, ,40.5, ,3.1, ,75.4, ,50.9, 
125,1/25/2015,25,0.04, ,0, ,217, ,9.5, ,56.1, ,38.4, ,44.4, ,100, ,75, ,95, ,43.1, ,2.8, ,66.2, ,51, 
125,1/26/2015,26,0.03, ,0, ,140, ,10.6, ,58.7, ,37.5, ,48.6, ,99, ,74, ,91, ,46.1, ,3.7, ,89.6, ,51, 
125,1/27/2015,27,0.06, ,0.08, ,215, ,13.3, ,65.8, ,49, ,56.8, ,100, ,63, ,84, ,52.1, ,3, ,71.6, ,53.3, 
125,1/28/2015,28,0.04, ,0, ,188, ,13.4, ,60, ,48, ,54.3, ,99, ,84, ,93, ,52.3, ,2.4, ,57.6, ,54.1, 
125,1/29/2015,29,0.03, ,0.04, ,133, ,14.2,Y,61.4, ,52.2, ,56.3, ,100, ,79, ,91,Y,53.9,Y,2, ,49.1, ,55.3, 
