224,1/1/2015,1,0.08, ,0, ,204, ,3.6, ,61.4, ,28, ,46, ,92, ,16, ,34, ,19.1, ,5.1, ,122.6, ,41.2, 
224,1/2/2015,2,0.04, ,0, ,197, ,5, ,55.5, ,23.5, ,35.7, ,96, ,33, ,70, ,27, ,2, ,47.2, ,41.1, 
224,1/3/2015,3,0.04, ,0, ,194, ,5.5, ,55.5, ,25.2, ,36.2, ,97, ,42, ,76, ,29.4, ,1.9, ,45, ,41, 
224,1/4/2015,4,0.03, ,0, ,142, ,6.4, ,60.1, ,30.4, ,40.7, ,95, ,32, ,74, ,33, ,1.7, ,41, ,41.9, 
224,1/5/2015,5,0.04, ,0, ,172, ,7.1, ,68.3, ,30, ,42.9, ,97, ,35, ,76, ,35.9, ,1.8, ,42.9, ,42.8, 
224,1/6/2015,6,0.05, ,0, ,199, ,7.5, ,72.2,Y,30.4, ,45.2, ,98, ,32, ,73, ,37.1, ,1.9, ,45.6, ,43.9, 
224,1/7/2015,7,0.05, ,0, ,205, ,7.7, ,77.4,Y,30.5, ,46.8, ,98, ,29, ,70, ,37.7, ,1.9, ,45, ,44.7, 
224,1/8/2015,8,0.03, ,0, ,152, ,8.1, ,66, ,31, ,45.3, ,97, ,44, ,79, ,39, ,2.1, ,50.2, ,45, 
224,1/9/2015,9,0.03, ,0, ,127, ,8.4, ,63.4, ,35, ,45.3, ,96, ,51, ,81, ,39.9, ,2, ,47.1, ,45.7, 
224,1/10/2015,10,0.02, ,0, ,99, ,8.9, ,58.8, ,35.1, ,46, ,97, ,59, ,85, ,41.6, ,1.8, ,42.9, ,45.9, 
224,1/11/2015,11,0.03, ,0, ,145, ,8.4, ,62.2, ,30.6, ,45.7, ,98, ,50, ,81, ,40.1, ,1.6, ,39.4, ,46.2, 
224,1/12/2015,12,0.04, ,0, ,146, ,8.6, ,64.3, ,36.3, ,49.6, ,97, ,44, ,71, ,40.7, ,2.6, ,62.1, ,47.1, 
224,1/13/2015,13,0.09, ,0, ,215, ,6.9, ,64.5, ,44.2, ,55.5, ,64, ,31, ,46, ,35, ,6.3, ,150.7, ,47.6, 
224,1/14/2015,14,0.04, ,0, ,199, ,6.4, ,65.3, ,30, ,43.8, ,98, ,30, ,66, ,33, ,1.9, ,44.7, ,46.3, 
224,1/15/2015,15,0.02, ,0, ,94, ,7.8, ,56.5, ,33.7, ,44, ,95, ,51, ,80, ,38.1, ,1.9, ,44.5, ,45.9, 
224,1/16/2015,16,0, ,0.07,R,32, ,10.3, ,50.8, ,44, ,47.1, ,96, ,87, ,94, ,45.4, ,1.7, ,40.7, ,46.9, 
224,1/17/2015,17,0, ,0.01, ,46, ,12, ,54.3, ,47.7, ,51, ,96, ,89, ,94, ,49.3, ,1.9, ,44.8, ,48.4, 
224,1/18/2015,18,0, ,0.11, ,49, ,11.3, ,53.6, ,42.7, ,49.2, ,97, ,86, ,95, ,47.7, ,2.1, ,50.7, ,49.9, 
224,1/19/2015,19,0.07, ,0, ,225, ,7.8, ,64.5, ,36.9, ,51.1, ,98, ,37, ,61, ,38.2, ,3.5, ,83, ,49.2, 
224,1/20/2015,20,0.1, ,0, ,228, ,5.8, ,66.8, ,47.4, ,56.4, ,47, ,30, ,37, ,30.8, ,5.9, ,142.4, ,48.4, 
224,1/21/2015,21,0.09, ,0, ,225, ,5.8, ,68.4, ,38.1, ,54.2, ,87, ,24, ,41, ,30.9, ,4.5, ,108.1, ,48.5, 
224,1/22/2015,22,0.05, ,0, ,217, ,7.7, ,68, ,35.6, ,46.8, ,94, ,30, ,70, ,37.7, ,1.9, ,45.7, ,48.7, 
224,1/23/2015,23,0.1, ,0, ,233, ,7, ,72.8,Y,35.5, ,58.9,Y,95, ,28, ,41,Y,35.5,Y,4.7, ,113.4, ,49, 
224,1/24/2015,24,0.11,R,0, ,231, ,7.8, ,78.3,Y,51,Y,65.9,R,57, ,27, ,--,R,--,I,5.3, ,127.6, ,50.6, 
224,1/25/2015,25,0.06, ,0, ,223, ,9.9, ,75.3,Y,39.5, ,53, ,95, ,45, ,72, ,44.2, ,2.2, ,53, ,51.4, 
224,1/26/2015,26,0.05, ,0, ,216, ,9.1, ,68.8, ,33.5, ,48.5, ,98, ,45, ,78, ,42.1, ,2.1, ,51.2, ,50.8, 
224,1/27/2015,27,0.02, ,0, ,112, ,9.9, ,57.6, ,41.9, ,48.6, ,95, ,67, ,85, ,44.3, ,1.8, ,42.8, ,50.9, 
224,1/28/2015,28,0.06, ,0, ,223, ,8.2, ,72.3,Y,34.5, ,49.8, ,98, ,31, ,68, ,39.5, ,2.5, ,59.4, ,50.4, 
224,1/29/2015,29,0.07, ,0, ,248, ,8, ,73.2,Y,32.6, ,50.6, ,97, ,30, ,64, ,38.8, ,2.6, ,61.5, ,50.3, 
224,1/30/2015,30,0.11, ,0, ,257, ,7.2, ,72.4, ,37.8, ,59.5,Y,84, ,23, ,42,Y,36.2,Y,5.2, ,125.8, ,51.2, 
224,1/31/2015,31,0.11, ,0, ,272, ,5.5, ,74.4,Y,35.3, ,53.9, ,86, ,17, ,39, ,29.6, ,4.5, ,107.4, ,50.4, 
224,2/1/2015,32,0.05, ,0, ,203, ,8.1, ,66.4, ,33.8, ,47.7, ,94, ,42, ,72, ,39.2, ,2.1, ,50.5, ,49.8, 
224,2/2/2015,33,0.01, ,0.22,R,101, ,11.1, ,58.8, ,41.1, ,49.6, ,97, ,71, ,92, ,47.2, ,2.4, ,58.3, ,50.9, 
224,2/3/2015,34,0.04, ,0, ,185, ,10.9, ,62.6, ,40.8, ,50.3, ,97, ,66, ,87, ,46.7, ,1.8, ,43.9, ,51.2, 
224,2/4/2015,35,0.02, ,0, ,120, ,10.9, ,60, ,40.2, ,49.3, ,97, ,73, ,91, ,46.8, ,1.6, ,37.5, ,51.4, 
224,2/5/2015,36,0.01, ,0, ,58, ,11.1, ,56.1, ,43.9, ,50.4, ,97, ,74, ,89, ,47.4, ,2.3, ,56.3, ,51.6, 
224,2/6/2015,37,0, ,1.07,R,14, ,12.2, ,57.3, ,48.4, ,52.4, ,96, ,84, ,91, ,49.8, ,8.8, ,211.7, ,51.2, 
224,2/7/2015,38,0.05, ,0.02, ,141, ,13.5, ,63.7, ,56.8,Y,59.1,Y,91, ,66, ,79,Y,52.5,Y,8.5, ,204.1, ,53.2, 
224,2/8/2015,39,0.02, ,0.4,R,46, ,13.9,Y,62, ,54.8,Y,57.8, ,96, ,72, ,85,Y,53.4,Y,7, ,167.2, ,54.3, 
224,2/9/2015,40,0.05, ,0.49,R,164, ,11.6, ,61.4, ,38.8, ,53.6, ,97, ,67, ,83, ,48.5, ,7.3, ,175.3, ,54.4, 
