104,1/1/2017,1,0.04, ,0.02, ,160, ,7.5, ,55, ,38.1, ,43.9, ,93, ,52, ,77, ,37.3, ,2.6, ,61.4, ,49.1, 
104,1/2/2017,2,0.01, ,0.43, ,72, ,8.6, ,47.5, ,37.7, ,42.4, ,95, ,86, ,93, ,40.6, ,1.9, ,46.2, ,48.4, 
104,1/3/2017,3,0, ,2.81, ,21, ,7.5, ,43,Y,35.3, ,39.1, ,95, ,91, ,93, ,37.3, ,2, ,47.9, ,49.1, 
104,1/4/2017,4,0.05,R,0.63, ,21, ,2.7,Y,36.3,R,--,S,--,S,92,H,91,H,--,Q,--,Q,3.2, ,76.5, ,51.2, 
104,1/5/2017,5,0.05,H,0, ,256, ,3.5,Y,53.5, ,--,S,--,S,86,H,53,H,--,Q,--,Q,2.4, ,56.8, ,51.9, 
104,1/6/2017,6,0.05, ,0, ,197, ,6.8, ,54.8, ,31.1, ,41.9, ,88, ,51, ,75, ,34.7, ,2.6, ,62.8, ,48.7, 
104,1/7/2017,7,0.03,R,2.61, ,22, ,7.1, ,49.7, ,22.8,Y,37.7,Y,93,H,83,H,93,Y,35.8,Y,2.9, ,69.3, ,49.4, 
104,1/8/2017,8,0, ,1.28, ,8, ,6.4, ,45.7, ,--,S,35.2,Y,93,H,85,H,93,Y,33.3,Y,5.3,R,127.1,R,52, 
104,1/9/2017,9,0.03,R,0.13, ,89, ,5.1, ,45,Y,--,S,--,S,92,H,82,H,--,Q,--,Q,2.9, ,69.7, ,53.2, 
104,1/10/2017,10,0, ,0.99, ,24, ,6.8, ,43.5,Y,26.8,Y,36.5,Y,93, ,89, ,93,Y,34.7,Y,5.8,R,138.1,R,53.5, 
104,1/11/2017,11,0.04, ,0.09, ,156, ,8, ,55.2, ,30.7, ,42.3, ,96, ,70, ,88, ,38.9, ,2.6, ,63.3, ,53.3, 
104,1/12/2017,12,0.04, ,0.48, ,190, ,7.8, ,54.1, ,34.3, ,41.8, ,95, ,66, ,86, ,38, ,2.4, ,57.5, ,51.9, 
104,1/13/2017,13,0.06, ,0, ,267, ,7.8, ,55.6, ,35.1, ,43.7, ,93, ,60, ,81, ,38.2, ,3.1, ,74.6, ,50.1, 
104,1/14/2017,14,0.07, ,0, ,271, ,7.7, ,60.8, ,34, ,45.3, ,94, ,46, ,75, ,37.9, ,3.1, ,73.6, ,49.3, 
104,1/15/2017,15,0.06, ,0, ,270, ,8, ,55.3, ,34.3, ,43.5, ,94, ,66, ,83, ,38.8, ,2.8, ,66.6, ,49, 
104,1/16/2017,16,0.06, ,0, ,267, ,7.6, ,55.8, ,33.2, ,42.9, ,95, ,59, ,81, ,37.5, ,2.7, ,64.9, ,48.4, 
104,1/17/2017,17,0.06, ,0, ,224, ,7.8, ,60.2, ,34.5, ,44.9, ,92, ,48, ,77, ,38.2, ,2.8, ,66.2, ,48.2, 
104,1/18/2017,18,0, ,1.66, ,23, ,8.8, ,48, ,37.2, ,43.3, ,94, ,88, ,92, ,41.2, ,3, ,73.1, ,49, 
104,1/19/2017,19,0.05, ,0.27, ,229, ,8.6, ,56.2, ,34.2, ,43.7, ,93, ,71, ,89, ,40.7, ,2.4, ,56.5, ,50.5, 
104,1/20/2017,20,0.04, ,2.22, ,188, ,8.4, ,53.7, ,34.6, ,43.1, ,95, ,68, ,89, ,40.1, ,3, ,71.4, ,51.5, 
104,1/21/2017,21,0.03,R,0.24, ,161, ,8.3, ,52.2, ,31.9, ,42.7, ,95, ,78, ,90, ,39.8, ,2.7, ,64.2, ,50.7, 
104,1/22/2017,22,0.03,R,1.66, ,57, ,6.9, ,47.1, ,29.5, ,36.3,Y,94,H,90,H,95,Y,34.9,Y,3.1, ,73.4, ,51.1, 
104,1/23/2017,23,0.04,R,0.43, ,142, ,5.7, ,40.5,Y,26.5,Y,31.6,R,95,H,88,H,--,R,--,I,1.7, ,39.9, ,49.9, 
104,1/24/2017,24,0.06,R,0.06, ,247, ,6.6, ,56.7, ,24.2,Y,38.5,Y,95,H,55,H,84,Y,34.1,Y,2.3, ,55, ,49.5, 
104,1/25/2017,25,0.07, ,0, ,298, ,7.8, ,56.2, ,31.6, ,42.5, ,95, ,61, ,84, ,38, ,3.2, ,76.3, ,49, 
104,1/26/2017,26,0.07, ,0, ,288, ,8, ,57.1, ,37.2, ,45, ,93, ,59, ,78, ,38.6, ,3, ,73.1, ,49.4, 
104,1/27/2017,27,0.08, ,0, ,306, ,7.2, ,60.4, ,34.2, ,45.6, ,93, ,42, ,69, ,36.1, ,2.9, ,69.5, ,49.2, 
104,1/28/2017,28,0.08, ,0, ,310, ,7.2, ,67.8, ,35.2, ,49.6, ,84, ,33, ,60, ,36.1, ,3.1, ,74.7, ,49.2, 
104,1/29/2017,29,0.09, ,0, ,301, ,7.6, ,70.9, ,37.5, ,51.9, ,86, ,30, ,57, ,37.4, ,3.2, ,76.6, ,50, 
104,1/30/2017,30,0.09, ,0, ,310, ,7.9, ,71.9, ,39.6, ,53.5, ,75, ,29, ,56, ,38.4, ,3.5, ,85.2, ,50.8, 
104,1/31/2017,31,0.09, ,0, ,284, ,7.7, ,67.4, ,40, ,51.5, ,81, ,35, ,59, ,37.8, ,3.8, ,90.8, ,51.5, 
104,2/1/2017,32,0.06, ,0.05, ,177, ,9.6, ,61.7, ,42.3, ,50.7, ,88, ,52, ,76, ,43.4, ,3.4, ,81.6, ,51.9, 
104,2/2/2017,33,0.03,R,1.45, ,41, ,7.8, ,49.8, ,30.1,Y,39,Y,97,H,87,H,97,Y,38.3,Y,2.3, ,55.6, ,52.6, 
104,2/3/2017,34,0.03,R,0.33, ,145, ,7.3, ,44.5,Y,27.2,Y,37.5,Y,96,H,91,H,96,Y,36.4,Y,5,R,120.9,R,54.4, 
104,2/4/2017,35,0.06,R,0, ,155, ,4.7, ,45.7,Y,--,S,--,S,95,H,89,H,--,Q,--,Q,2.8, ,67.5, ,55.5, 
104,2/5/2017,36,0.03,R,0.52, ,103, ,7, ,52.5, ,21.4,R,35.8,R,95,H,82,H,--,R,--,I,3.7, ,88.2, ,55, 
104,2/6/2017,37,0.07,H,1.41, ,57, ,3.2,Y,40.1,R,--,S,--,S,95,H,94,H,--,Q,--,Q,4.2, ,100.1, ,54.9, 
104,2/7/2017,38,0.07,H,1.21, ,29, ,0.6,R,--,S,--,S,--,S,--,H,--,H,--,Q,--,Q,4.7,Y,113.6,Y,55.5, 
