231,1/1/2017,1,--,N,0, ,138, ,8.8, ,55.1, ,34.8, ,47.9, ,90, ,66, ,77, ,41.1, ,5.8, ,138.4, ,48.3, 
231,1/2/2017,2,--,N,0, ,107, ,9.3, ,55.9, ,40.5, ,47.8, ,92, ,62, ,82, ,42.6, ,2.6, ,63.3, ,48.7, 
231,1/3/2017,3,--,N,0, ,134, ,10.9, ,60.1, ,39.9, ,52.7, ,93, ,68, ,80, ,46.7, ,7.6,R,181.8,R,48.8, 
231,1/4/2017,4,--,N,0.03, ,55, ,14.4,Y,60.5, ,55.4,Y,57.7, ,93, ,82, ,88,Y,54.2,Y,7.1,Y,171.6,Y,51.3, 
231,1/5/2017,5,--,N,0.31, ,176, ,13.2,Y,60.3, ,38.1, ,54.1, ,97, ,78, ,92,Y,51.9,Y,5.4, ,130.5, ,53.4, 
231,1/6/2017,6,--,N,0.03, ,259, ,9.3, ,62.9, ,34.1, ,48, ,96, ,58, ,82, ,42.7, ,3.2, ,77.8, ,50.5, 
231,1/7/2017,7,--,N,0.4, ,30, ,11.2, ,62.1, ,51.5,Y,57, ,85, ,56, ,71, ,47.6, ,9.9,R,237.7,R,50.8, 
231,1/8/2017,8,--,N,0.93, ,204, ,11.2, ,69.7, ,56.2,Y,62.9,Y,93, ,42, ,57,Y,47.6,Y,10.2,R,245.9,R,51.7, 
231,1/9/2017,9,--,N,0.35, ,215, ,14.6,Y,63, ,52.3,Y,58.1, ,96, ,73, ,88,Y,54.6,Y,4.4, ,104.6, ,54.3, 
231,1/10/2017,10,--,N,0.03, ,134, ,14.2,Y,62.9, ,51.3,Y,57.6, ,93, ,81, ,88,Y,54,Y,6, ,143.7, ,54.9,Y
231,1/11/2017,11,--,N,0.14, ,191, ,14.1,Y,62.1, ,53,Y,57.7, ,95, ,70, ,87,Y,53.8,Y,5.2, ,125.7, ,55.7,Y
231,1/12/2017,12,--,N,0.32, ,206, ,11.1, ,58.8, ,38.4, ,51.3, ,94, ,69, ,86, ,47.4, ,5.2, ,124.5, ,55.1,Y
231,1/13/2017,13,--,N,0, ,281, ,8.1, ,60.9, ,33, ,46.9, ,96, ,53, ,74, ,39.1, ,4.1, ,97.7, ,51.6, 
231,1/14/2017,14,--,N,0, ,292, ,9.4, ,65.9, ,38.5, ,50.4, ,92, ,47, ,75, ,42.8, ,4.8, ,114.6, ,50.8, 
231,1/15/2017,15,--,N,0, ,261, ,8.5, ,58.6, ,32.7, ,44.3, ,97, ,56, ,86, ,40.5, ,3.4, ,80.5, ,50, 
231,1/16/2017,16,--,N,0, ,296, ,8.7, ,59.6, ,33.1, ,45.7, ,95, ,61, ,84, ,41, ,3.5, ,83.2, ,49, 
231,1/17/2017,17,--,N,0, ,269, ,9.2, ,63.9, ,35.1, ,47.5, ,95, ,56, ,82, ,42.3, ,3.5, ,84.3, ,48.8, 
231,1/18/2017,18,--,N,0.15, ,72, ,10.4, ,57.3, ,36, ,49.2, ,94, ,72, ,87, ,45.6, ,7,Y,167.3,Y,48.7, 
231,1/19/2017,19,--,N,0.3, ,212, ,12.8, ,60.7, ,48.9, ,54.2, ,97, ,77, ,89, ,51, ,4.7, ,113, ,50.6, 
231,1/20/2017,20,--,N,0.46, ,106, ,11.7, ,58, ,47.7, ,52.6, ,94, ,79, ,86, ,48.7, ,8.4,R,201.3,R,50.8, 
