68,1/1/2019,1,0.09, ,0, ,309, ,5, ,55.3, ,31.8, ,43.2, ,92, ,20, ,52, ,27, ,5.3, ,127.7, ,49.9, 
68,1/2/2019,2,0.07, ,0, ,277, ,3.4, ,60.3, ,26.9, ,42.6, ,70, ,12, ,37, ,18.1, ,3.3, ,79.8, ,47.8, 
68,1/3/2019,3,0.06, ,0, ,284, ,3.8, ,62.6, ,25.3,Y,42.6, ,80, ,15, ,41, ,20.4, ,2.3, ,55.9, ,47.5, 
68,1/4/2019,4,0.07, ,0, ,300, ,4.4, ,64.8, ,26.8, ,44.6, ,76, ,16, ,44, ,24.1, ,2.5, ,60.5, ,49.9, 
68,1/5/2019,5,0.01, ,0.22, ,58, ,7.9, ,52.2,Y,35.2, ,44.4, ,99, ,61, ,80, ,38.6, ,2.4, ,57.1, ,51.1, 
68,1/6/2019,6,0.04, ,0, ,214, ,10.6, ,58.5, ,37.9, ,47.8, ,100, ,74, ,94, ,46, ,2.6, ,63, ,54.3, 
68,1/7/2019,7,0.05, ,0.01, ,240, ,10.5, ,64, ,34.9, ,47.1, ,100, ,67, ,95, ,45.8, ,2.4, ,56.6, ,53.1, 
68,1/8/2019,8,0.08, ,0, ,307, ,10.3, ,69.2, ,39.5, ,53.3, ,100, ,45, ,74, ,45.4, ,2.6, ,63.4, ,54.5, 
68,1/9/2019,9,0.08, ,0, ,305, ,10.7, ,71, ,40, ,54.9, ,100, ,41, ,73, ,46.4, ,2.4, ,57.2, ,56, 
68,1/10/2019,10,0.08, ,0, ,316, ,9.9, ,75.3, ,39.7, ,56.3, ,100, ,31, ,64, ,44.3, ,2.2, ,52.7, ,57.1, 
68,1/11/2019,11,0.06, ,0, ,245, ,10.1, ,69.9, ,40.4, ,54.1, ,99, ,41, ,71, ,44.9, ,2, ,48.3, ,57.1, 
68,1/12/2019,12,0.05, ,0.05, ,218, ,12.2, ,64.7, ,45.3, ,53.7, ,98, ,60, ,86, ,49.7, ,3, ,71.7, ,57.7, 
68,1/13/2019,13,0.06, ,0, ,254, ,10.5, ,64.3, ,40.7, ,52.4, ,100, ,51, ,78, ,45.8, ,2.4, ,58.4, ,57, 
68,1/14/2019,14,0.01, ,0.07, ,94, ,11.9, ,58, ,42.4, ,50.8, ,100, ,77, ,94, ,49.2, ,2.3, ,55.2, ,56.3, 
